TimeStep,StateType,Variable,Values
47,Priors,mu_c_priors,-0.273296 0.557849 -0.137114 0.0840794 -1.15832 0.581194 -0.0752535 -0.122956 0.328092 1.0202 0.0577576 -0.380823 -0.117063 -0.544414 -0.0620378 0.120946 0.319864 0.15115 0.0897343 -0.0576593 0.270466 0.218653 -0.594364 0.594923 0.440652 0.0804017 -0.199315 -0.811778 -0.562853 -0.775737 -0.152311 -0.410617 -0.519829 -0.47416 0.43755 -0.0408809 0.315155 0.339958 -0.133782 0.232259
48,Priors,mu_c_priors,-0.0300326 0.439894 -0.262411 -0.142098 -1.21569 0.523256 -0.243312 -0.111609 0.295657 0.926083 -0.0446687 -0.311128 -0.0573468 -0.594461 0.0743427 0.22614 0.213983 0.301558 0.107746 -0.00839461 0.405766 0.100503 -0.524665 0.629954 0.390644 0.0540645 -0.239159 -0.708166 -0.677692 -0.718905 -0.116253 -0.383735 -0.424494 -0.53825 0.459674 -0.186454 0.341573 0.366332 -0.109972 -0.00813978
49,Priors,mu_c_priors,0.17082 0.255695 -0.361665 -0.344112 -1.20614 0.410428 -0.367149 -0.0764362 0.190572 0.787197 -0.140751 -0.199417 0.0102149 -0.626501 0.16327 0.305063 0.0655249 0.445744 0.10351 0.0592229 0.485621 0.00194092 -0.403173 0.604018 0.326074 0.0201996 -0.277573 -0.572033 -0.735391 -0.669203 -0.0641119 -0.35063 -0.304231 -0.587418 0.432007 -0.304732 0.368547 0.32573 -0.0741487 -0.259183
50,Priors,mu_c_priors,0.31356 0.0487392 -0.437566 -0.50162 -1.12215 0.227258 -0.427664 -0.010558 0.0182643 0.610956 -0.237144 -0.0450183 0.083525 -0.617354 0.20708 0.358777 -0.101129 0.565339 0.0735391 0.136309 0.529532 -0.0736927 -0.242532 0.497049 0.246689 -0.0134522 -0.322921 -0.401562 -0.747052 -0.640013 0.00616205 -0.308155 -0.167332 -0.609478 0.364272 -0.396099 0.395915 0.209805 -0.0281074 -0.477351
51,Priors,mu_c_priors,0.391933 -0.150374 -0.502935 -0.595692 -0.953093 0.00153468 -0.436023 0.0866595 -0.19903 0.412226 -0.333448 0.138745 0.162805 -0.529833 0.218653 0.390289 -0.25698 0.648116 0.0117019 0.208293 0.555264 -0.128205 -0.0648039 0.309485 0.14985 -0.0361971 -0.380836 -0.198782 -0.720086 -0.625002 0.0904647 -0.250199 -0.0310959 -0.586749 0.273001 -0.470993 0.418852 0.0356937 0.02489 -0.631895
52,Priors,mu_c_priors,0.410138 -0.310928 -0.561165 -0.625881 -0.690661 -0.213881 -0.405944 0.21794 -0.423396 0.215911 -0.433313 0.324214 0.234427 -0.335672 0.216227 0.410099 -0.382086 0.690228 -0.0805816 0.272848 0.57226 -0.167504 0.111534 0.0818145 0.0338922 -0.0426842 -0.457767 0.00972698 -0.665254 -0.611521 0.173995 -0.18304 0.086723 -0.506235 0.164725 -0.528937 0.432843 -0.151562 0.0743707 -0.708561
53,Priors,mu_c_priors,0.383633 -0.422287 -0.613431 -0.59918 -0.359455 -0.388659 -0.348149 0.373223 -0.619214 0.0306537 -0.531764 0.480963 0.280515 -0.0478469 0.208563 0.425429 -0.471086 0.691462 -0.199425 0.324574 0.581751 -0.195021 0.244471 -0.139531 -0.08745 -0.0335379 -0.550466 0.189407 -0.584994 -0.574463 0.24606 -0.114239 0.180028 -0.35938 0.0462454 -0.568011 0.435118 -0.314482 0.113301 -0.690541
54,Priors,mu_c_priors,0.336193 -0.495172 -0.652804 -0.529778 -0.0197149 -0.524202 -0.278393 0.530089 -0.767287 -0.120526 -0.623564 0.590842 0.30073 0.266677 0.198383 0.430626 -0.527544 0.64835 -0.323854 0.357661 0.578218 -0.219131 0.316461 -0.315019 -0.198491 -0.0117027 -0.649985 0.319625 -0.482044 -0.476351 0.304418 -0.0509126 0.249783 -0.1683 -0.0710456 -0.585673 0.421491 -0.425797 0.133872 -0.577102
55,Priors,mu_c_priors,0.279287 -0.544132 -0.667448 -0.436476 0.269084 -0.62495 -0.210033 0.658091 -0.862955 -0.2286 -0.703554 0.653168 0.29326 0.540019 0.184696 0.421447 -0.558288 0.567685 -0.440121 0.368491 0.551902 -0.245126 0.340037 -0.423008 -0.284407 0.0249721 -0.739515 0.395561 -0.356252 -0.293762 0.351519 -0.000878852 0.293232 0.0372266 -0.184698 -0.570111 0.387176 -0.483788 0.134721 -0.39766
56,Priors,mu_c_priors,0.217147 -0.569023 -0.644886 -0.336165 0.475122 -0.687312 -0.149376 0.734445 -0.913215 -0.294588 -0.766406 0.678068 0.257775 0.744386 0.16324 0.398607 -0.573364 0.46205 -0.53775 0.3565 0.490403 -0.276709 0.333701 -0.464738 -0.330573 0.0752353 -0.796391 0.426451 -0.209234 -0.0479168 0.385457 0.0313807 0.308475 0.229869 -0.288528 -0.506689 0.317139 -0.503347 0.123083 -0.20207
